"experiment";"subject";"date";"block";"trial";"face_left";"face_top";"face_right";"cue_dir";"target_id";"target_pos";"cue_num";"correct_response";"rt"
"mGCP-III";123;"2018-01-05_09:22";1;1;"61_Caucasian_female_neutral_left.jpg";"26_Caucasian_female_neutral_left.jpg";"37_Caucasian_female_neutral_left.jpg";"cue_left";"target_E";"target_left";"cue_3";99;99
"mGCP-III";123;"2018-01-05_09:22";1;2;"37_Caucasian_female_neutral_right.jpg";"26_Caucasian_female_neutral_right.jpg";"61_Caucasian_female_neutral_right.jpg";"cue_right";"target_F";"target_left";"cue_3";0;0,425482893624576
"mGCP-III";123;"2018-01-05_09:22";1;3;"26_Caucasian_female_neutral_left.jpg";"61_Caucasian_female_neutral_left.jpg";"37_Caucasian_female_neutral_left.jpg";"cue_left";"target_F";"target_right";"cue_3";0;0,346273838513298
"mGCP-III";123;"2018-01-05_12:11";1;1;"26_Caucasian_female_neutral_right.jpg";"37_Caucasian_female_neutral_right.jpg";"61_Caucasian_female_neutral_right.jpg";"cue_right";"target_F";"target_right";"cue_3";1;0,768819449353032
"mGCP-III";123;"2018-01-05_12:11";1;2;"26_Caucasian_female_neutral_left.jpg";"61_Caucasian_female_neutral_left.jpg";"37_Caucasian_female_neutral_left.jpg";"cue_left";"target_E";"target_left";"cue_3";1;0,774578656957601
"mGCP-III";123;"2018-01-05_12:11";1;3;"37_Caucasian_female_neutral_left.jpg";"26_Caucasian_female_neutral_left.jpg";"61_Caucasian_female_neutral_left.jpg";"cue_left";"target_F";"target_left";"cue_3";99;99
"mGCP-III";123;"2018-01-05_12:11";1;4;"26_Caucasian_female_neutral_right.jpg";"37_Caucasian_female_neutral_right.jpg";"61_Caucasian_female_neutral_right.jpg";"cue_right";"target_E";"target_right";"cue_3";1;0,610825240160921
"mGCP-III";123;"2018-01-05_12:11";1;5;"26_Caucasian_female_neutral_left.jpg";"61_Caucasian_female_neutral_left.jpg";"37_Caucasian_female_neutral_left.jpg";"cue_left";"target_E";"target_right";"cue_3";1;0,535008973820368
"mGCP-III";123;"2018-01-05_12:11";1;6;"61_Caucasian_female_neutral_left.jpg";"37_Caucasian_female_neutral_left.jpg";"26_Caucasian_female_neutral_left.jpg";"cue_left";"target_E";"target_right";"cue_3";1;0,410235887320596
"mGCP-III";123;"2018-01-05_12:11";1;7;"26_Caucasian_female_neutral_right.jpg";"37_Caucasian_female_neutral_right.jpg";"61_Caucasian_female_neutral_right.jpg";"cue_right";"target_F";"target_left";"cue_3";99;99
"mGCP-III";123;"2018-01-05_12:11";1;8;"61_Caucasian_female_neutral_right.jpg";"26_Caucasian_female_neutral_right.jpg";"37_Caucasian_female_neutral_right.jpg";"cue_right";"target_F";"target_left";"cue_3";1;0,674820474145235
