experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,correct_response,rt
mGCP-III,2,2018-01-09_18:41,1,1,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,1,0.6426130794625351
mGCP-III,2,2018-01-09_18:41,1,2,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,1,0.4031765320778504
mGCP-III,2,2018-01-09_18:41,1,3,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,1,0.6573334687072929
mGCP-III,2,2018-01-09_18:41,1,4,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,1,0.43969878925418016
mGCP-III,2,2018-01-09_18:41,1,5,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,1,0.4606781389902608
mGCP-III,2,2018-01-09_18:41,1,6,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,1,0.41419045365182683
mGCP-III,2,2018-01-09_18:41,1,7,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,1,0.6976605638865294
mGCP-III,2,2018-01-09_18:41,1,8,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,1,0.49389294068350864
mGCP-III,2,2018-01-09_18:41,1,9,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,1,0.7360032647884509
mGCP-III,2,2018-01-09_18:41,1,10,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,1,0.6529629025335453
mGCP-III,2,2018-01-09_18:41,1,11,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,1,0.6589690236178285
mGCP-III,2,2018-01-09_18:41,1,12,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,1,0.6290948625810415
mGCP-III,2,2018-01-09_18:41,1,13,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,1,0.5117434027670242
mGCP-III,2,2018-01-09_18:41,1,14,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,1,0.5264574710290617
mGCP-III,2,2018-01-09_18:41,1,15,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,1,0.5720811567080091
