"vp","age","sex","study","semester","trials","percent_valid","percent_correct","m_overall","m_co0","m_co1","m_dif_overall","m_co0cu1","m_co0cu3","m_co1cu1","m_co1cu3","m_dif_cu1","m_dif_cu3","m_co0p26","m_co0p37","m_co0p61","m_co1p26","m_co1p37","m_co1p61","m_dif_cu1_26","m_dif_cu1_37","m_dif_cu1_61","m_co0pc1","m_co0pc2","m_co0pc3","m_co0pc4","m_co0pc5","m_co0pc6","m_co1pc1","m_co1pc2","m_co1pc3","m_co1pc4","m_co1pc5","m_co1pc6","m_dif_cu3_pc1","m_dif_cu3_pc2","m_dif_cu3_pc3","m_dif_cu3_pc4","m_dif_cu3_pc5","m_dif_cu3_pc6","aqk1","aqk2","aqk3","aqk4","aqk5","aqk6","aqk7","aqk8","aqk9","aqk10","aqk11","aqk12","aqk13","aqk14","aqk15","aqk16","aqk17","aqk18","aqk19","aqk20","aqk21","aqk22","aqk23","aqk24","aqk25","aqk26","aqk27","aqk28","aqk29","aqk30","aqk31","aqk32","aqk33","aq_social","aq_imagination","aq_communication","aq_sumscore","siasd1","siasd2","siasd3","siasd4","siasd5","siasd6","siasd7","siasd8","siasd9","siasd10","siasd11","siasd12","siasd13","siasd14","siasd15","siasd16","siasd17","siasd18","siasd19","siasd20","sias","fze1","fze2","p26a","p26v","p61a","p61v","p37a","p37v","research","strategy","Bemerkung"
"1",23,1,"1",5,384,98.4,90.4,534.249,539.29,537.275,-2.01499999999999,522.886,555.693,529.105,545.541,6.21900000000005,-10.1519999999999,576.129,545.6,543.444,548.556,558.1,529.179,-27.573,12.5,-14.265,503.867,519.667,526.733,522.769,507.533,556.733,542,531.467,535.867,529.154,524.333,515.312,38.133,11.8,9.13400000000001,6.38499999999999,16.8,-41.4209999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,1,1,0,2,1,0,2,0,1,0,0,2,0,14,4,3,5,3,3,2,3,2,"ist man schneller wenn das zuvor gezeigte Gesicht in die selbe Richtung schaut","0",""
"2",23,1,"1",7,384,99.2,93,490.008,491.938,496.304,4.36599999999999,481.148,502.727,487.802,504.9,6.654,2.173,499.871,501.267,507.63,477.724,517.839,517.8,-22.147,16.5720000000001,10.17,485,485.562,485.769,465.467,501,466.8,491.929,492.2,464.929,487.625,503.75,484.312,6.92899999999997,6.63799999999998,-20.84,22.158,2.75,17.512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,4,1,0,0,1,1,2,0,1,1,1,2,3,1,0,3,2,2,2,1,2,26,3,4,4,2,3,1,3,1,"wie stark man von der Blickrichtung von 1vs3 Gesichtern beeinflusst wird","Blickrichtung so gut es geht ignorieren, um mich nicht ablenken zu lassen",""
"3",18,1,"1",1,384,97.9,93.8,530.146,536.368,531.034,-5.33400000000006,539.933,532.957,538.333,523.568,-1.60000000000002,-9.38900000000001,540.548,534.133,524.5,512.935,524.621,534.25,-27.6130000000001,-9.51200000000006,9.75,540.333,598.733,508.125,516.8,549.571,528,529.357,525.188,532.067,567.929,533.062,545,-10.976,-73.545,23.942,51.129,-16.509,17,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,5,1,1,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,2,9,3,4,4,5,3,3,2,4,"Reaktionsschnelligkeit in Abhängigkeit der Blickrichtung","die Gesicher nicht besonders beachten","Tasten nicht gleich leicht drückbar"
"4",22,1,"1",6,384,96.6,93.8,534.407,540.966,530.402,-10.564,536.259,545.363,540.13,520.674,3.87099999999998,-24.6890000000001,528.613,566.8,541.233,547.613,532.233,482.548,19,-34.567,-58.6849999999999,541.467,528.143,561.467,557.333,534,491.143,534.4,545.375,538.4,527.467,556.133,538.75,-7.06700000000001,17.232,-23.067,-29.866,22.133,47.607,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,8,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6,4,2,2,2,4,2,3,5,"ob die Blickrichtung die Aufmerksamkeit also folglich das erkennen der Buchstaben verbessert bei Kongruenz und verschlechtert bei Inkongruenz","0",""
"5",21,2,"1",7,384,99,96.4,544.716,543.978,548.177,4.19900000000007,532.934,554.785,553.903,542.452,20.9690000000001,-12.333,558.452,551.613,554.29,552.969,515.581,559,-5.48299999999995,-36.032,4.71000000000004,547.133,537.867,513.333,495.143,524.125,575.25,538.625,574.2,537.312,541.067,576.267,557.812,-8.50800000000004,36.3330000000001,23.979,45.924,52.1420000000001,-17.438,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,3,9,4,16,3,1,4,1,2,0,1,0,2,3,3,4,2,4,3,3,2,0,1,1,40,3,3,3,3,3,2,3,3,"0","0",""
"6",19,1,"1",3,384,98.4,93.5,501.728,504.658,497.491,-7.16700000000003,489.549,519.441,479.315,516.302,-10.234,-3.13900000000001,525,498.161,535.161,514.533,520.379,513.889,-10.467,22.218,-21.2719999999999,487.267,481.125,476.429,499.312,492.333,499.867,470.357,520.375,478.077,480.188,476.067,447.267,-16.91,39.25,1.64800000000002,-19.124,-16.266,-52.6,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,6,3,4,13,4,2,3,2,2,4,1,1,3,2,2,4,2,4,3,4,4,4,4,4,59,2,2,3,3,3,3,3,3,"0","0",""
"7",24,1,"1",6,384,98.4,90.4,526.294,539.392,531.057,-8.33500000000004,533.536,545.046,530.719,531.402,-2.81699999999989,-13.644,533.548,568.269,536.8,505.355,574.071,517.571,-28.193,5.80200000000002,-19.2289999999999,533.538,601.846,542,538.4,485.429,506.467,507.786,532.6,533.562,528.733,528.143,551.6,-25.752,-69.246,-8.43799999999999,-9.66700000000003,42.7140000000001,45.133,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,5,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,8,3,3,3,3,3,3,3,3,"Aufmerksamkeit, die durch Blickrichtung gelenkt wird.. Wenn ungleich mit dem Ziel ist es schwieriger","0",""
"8",22,1,"1",6,384,96.6,89.3,544.294,552.173,548.582,-3.59100000000001,532.345,572.233,533.379,564.518,1.03399999999999,-7.71499999999992,564.833,567.333,584.448,556.519,565.821,570.929,-8.31399999999996,-1.51199999999994,-13.519,544.062,495.75,545,567.5,542.4,493.6,532.938,529.231,504.154,578.438,540.357,508.2,-11.124,33.481,-40.846,10.938,-2.04300000000001,14.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6,2,1,4,3,1,2,3,3,"Social Priming durch Blickrichtung der Gesichter","Augen auf Fixationskreuz halten, Konzentration",""
"9",23,2,"1",1,384,98.4,79.4,450.434,473.526,468.396,-5.13,451.574,490.489,444.582,487.854,-6.99200000000002,-2.63499999999999,496.516,472,500.9,509.143,458.4,492.69,12.627,-13.6,-8.20999999999998,460.917,410.182,456.182,439.091,477.333,462.545,415.273,474,431.556,457.417,442.917,440.273,-45.6439999999999,63.818,-24.626,18.326,-34.4160000000001,-22.272,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,3,2,9,1,1,3,0,1,1,0,0,0,1,3,0,0,2,2,3,0,0,0,4,22,4,3,4,4,3,2,1,3,"ob man schneller reagiert, wenn ein Gesicht vertraut erscheint und in eine Richtung blickt","0",""
"10",23,1,"1",6,384,96.9,85.9,574.871,582.451,570.602,-11.849,572.771,592.37,568.8,572.494,-3.971,-19.876,572.346,616.179,586.963,570.111,563.4,586.542,-2.23500000000001,-52.779,-0.420999999999935,573.333,591.067,575.154,560.6,573.818,562.571,552.25,558.867,570.571,566.538,567.125,594.067,-21.083,-32.2,-4.58299999999997,5.93799999999999,-6.69299999999998,31.496,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,3,7,1,0,4,0,0,0,0,0,4,0,1,3,1,2,3,1,1,1,0,3,25,2,1,4,3,3,2,2,2,"0","0",""
